Date,Price,Model_Prediction,Bet_Size
2023-06-26,0.7735511511571849,-0.0,-0.04258166070263947
2023-06-27,0.7945869417955089,-0.0,0.05945680441443302
2023-06-28,0.7924906177506044,-0.0,-0.016489679783619593
2023-06-29,0.788478383847151,-0.0,-0.024088195999031115
2023-06-30,0.8032404533680388,-0.0,0.10714218507754647
2023-07-03,0.8003430600774157,0.0,0.11606491497904492
2023-07-05,0.7973915852108773,-0.0,0.07023628108568603
2023-07-06,0.7880270401314222,-0.0,0.06150539516402587
2023-07-07,0.7857108328910831,-0.0,0.004093034005565599
2023-07-10,0.7867892502466569,-0.0,-0.0391416088016352
2023-07-11,0.7915264185475461,-0.0,0.04445180272182192
2023-07-12,0.8022786994067088,-0.0,0.08257991557587907
2023-07-13,0.8144620604991557,-0.0,0.15089618894921752
2023-07-14,0.8072049532424304,-1.0,0.34379828199281803
2023-07-17,0.8134650064760418,-1.0,0.3272783550693581
2023-07-18,0.8168137350384335,-1.0,0.4241198714721155
2023-07-19,0.8116374691170387,-1.0,0.44162589892205717
2023-07-20,0.7857381779483319,-1.0,0.21259015880909904
2023-07-21,0.7878459000241644,-0.0,0.03312623026154671
2023-07-24,0.7912820516719696,-0.0,0.027779039896042468
2023-07-25,0.797987957714799,-0.0,0.0072465150517320165
2023-07-26,0.7924717709082687,-0.0,-0.030117517047195563
2023-07-27,0.7901122880122768,-0.0,-0.008592724276321184
2023-07-28,0.8085106585657673,-0.0,0.12036959214348952
2023-07-31,0.8034534863672258,-1.0,0.27577277486134677
2023-08-01,0.7988035962011439,-1.0,0.269688678053031
2023-08-02,0.7758652252421481,-0.0,0.07805536424453208
2023-08-03,0.7800740755984519,-0.0,0.039024046497527776
2023-08-04,0.7774352068452117,-0.0,-0.03597207307765815
2023-08-07,0.7880837639027698,-0.0,0.04358033527005478
2023-08-08,0.7778763596287037,-0.0,-0.05244213229361183
2023-08-09,0.7689280686442812,-0.0,-0.08061426438081609
2023-08-10,0.7747074271370282,-0.0,-0.04364574529641718
2023-08-11,0.7691847796415683,-0.0,-0.08774575767853232
2023-08-14,0.7828393747955023,-0.0,-0.014682413200937439
2023-08-15,0.7698536507697993,-0.0,-0.08030177470106514
2023-08-16,0.7618458591115003,-0.0,-0.09932341864125083
2023-08-17,0.7549126629270093,-0.0,-0.10856095076509187
2023-08-18,0.7585287948369572,-0.0,-0.11798167725716502
2023-08-21,0.7769601571206293,-0.0,-0.10558461517132933
2023-08-22,0.7721288081461815,-0.0,-0.06449654641651836
2023-08-23,0.7874744301807048,-0.0,-0.03471146959838545
2023-08-24,0.7610678833282254,-0.0,-0.07417921143467043
2023-08-25,0.7736049848352513,-0.0,-0.060275184229792944
2023-08-28,0.7801289765187844,-0.0,0.016162986812814806
2023-08-29,0.7993367450206188,-0.0,0.02631767392206985
2023-08-30,0.7975713832780835,-0.0,0.005982795393481011
2023-08-31,0.7961426075827953,0.0,0.08393389995709377
2023-09-01,0.7919793559136865,-0.0,0.06730495006324788
2023-09-05,0.7917931750375873,-0.0,0.10953146385233481
2023-09-06,0.7814124531133881,-0.0,0.006811769271200863
2023-09-07,0.7758369621816588,-0.0,-0.05361991285423051
2023-09-08,0.779479237098351,-0.0,0.04127775954395707
2023-09-11,0.7913519168123848,-0.0,0.03947344167117928
2023-09-12,0.7767203394715692,-0.0,0.006228892587204493
2023-09-13,0.7825752313309255,0.0,-0.07682793088949691
2023-09-14,0.7899410951895813,-0.0,-0.056886975976840004
2023-09-15,0.7698807168045612,-0.0,-0.029502591688915447
2023-09-18,0.7749711937772839,0.0,0.020229751670137075
2023-09-19,0.773599936666411,-0.0,0.0028970036592941284
2023-09-20,0.7600762000718122,-0.0,-0.09213637372574845
2023-09-21,0.7463180890539087,-0.0,-0.08259979263182393
2023-09-22,0.7537165030390796,-0.0,-0.12067947390622447
2023-09-25,0.7613103172660889,-0.0,-0.024435271070726183
2023-09-26,0.7464604750284636,-0.0,-0.14709584823248534
